index,score,tone_id,tone_name,text,sentence_id
0,0.554172,joy,Joy,Introduction Hydrogen is having a moment.,0
1,0.620162,sadness,Sadness,"In Europe alone, Spain, Germany, France, Portugal, the Netherlands and the European Commission have each published hydrogen strategies in the last several months.",2
2,0.602912,sadness,Sadness,There is a clear sense in which clean hydrogen is viewed by many countries as the “missing link” required in order to achieve a fully functioning net zero economy consistent with their Paris Agreement objectives.,4
3,0.76423,analytical,Analytical,There is a clear sense in which clean hydrogen is viewed by many countries as the “missing link” required in order to achieve a fully functioning net zero economy consistent with their Paris Agreement objectives.,4
4,0.65081,analytical,Analytical,"In this series, we will be taking a closer look at the vision that is generating all the excitement; the politics; the use cases favoured by different countries; what the business models might need to be and what is currently contemplated; and the new legal changes needed to bring this new (rather inflammable) commodity into our everyday lives.",5
5,0.749909,joy,Joy,"Chapter 1: Hy-Ambitions – a vision for a new energy vector The Hy road: a brief history of clean hydrogen While hydrogen is currently enjoying a renaissance, it is not “new”.",6
6,0.596813,sadness,Sadness,Its value as an energy carrier has been recognised since the 1800s and there have been several waves of enthusiasm for wider utilisation of hydrogen in recent decades.,7
7,0.801827,analytical,Analytical,"Unfortunately, none has resulted in transformative change.",8
8,0.520422,sadness,Sadness,"Conversely in the 1990s, low oil prices suppressed motivation for focussed investment.",10
9,0.842108,analytical,Analytical,"Conversely in the 1990s, low oil prices suppressed motivation for focussed investment.",10
10,0.731735,analytical,Analytical,The climate emergency is occupying mainstream policy focus in many countries.,11
11,0.675811,analytical,Analytical,"While the profound growth of the renewable energy sector over the past two decades has enabled rapid decarbonisation of electrical systems, there is rising recognition of the need to identify methods of decarbonising energy for those sectors which are difficult to electrify, such as industrial processes, high usage or long-haul transport and fuel for buildings as well as to remove emissions from chemical processes.",12
12,0.54839,analytical,Analytical,"With a lack of viable alternatives to achieve the levels of deep decarbonisation consistent with net zero targets, clean hydrogen may offer the solution and has unprecedented political and industry momentum.",13
13,0.598706,joy,Joy,Hydrogen has also consistently faced the “chicken or egg” challenge of how to simultaneously bring about change both upstream and downstream: both of these challenges remain today.,15
14,0.5538,tentative,Tentative,Hydrogen has also consistently faced the “chicken or egg” challenge of how to simultaneously bring about change both upstream and downstream: both of these challenges remain today.,15
15,0.506763,analytical,Analytical,"Recently, however, the context in which these challenges are viewed has changed out of all recognition.",16
16,0.704642,confident,Confident,"Recently, however, the context in which these challenges are viewed has changed out of all recognition.",16
17,0.822231,tentative,Tentative,Hy hopes: the possible use cases for clean hydrogen There are a number of promising use cases for clean hydrogen.,17
18,0.864115,analytical,Analytical,"1. Industrial processes – chemical hydrogen Hydrogen has been used for decades in industrial processes such as oil refining, ammonia production and iron and steel production, however it is currently almost exclusively produced from unabated carbon-containing fossil fuels (so-called “grey hydrogen”).",18
19,0.683494,analytical,Analytical,"To give a sense of scale, approximately 6% of global natural gas production and 2% of global coal production is dedicated to grey hydrogen production (in each case, with the redundant CO2 from the fossil source largely being discharged into the atmosphere).",19
20,0.752532,analytical,Analytical,"It follows that clean hydrogen, in direct substitution for the grey hydrogen currently produced, offers immediate potential to decarbonise existing chemical processes on a meaningful scale.",20
21,0.868982,analytical,Analytical,This use case also clearly demonstrates how clean electricity alone cannot get us to net zero.,21
22,0.746197,confident,Confident,This use case also clearly demonstrates how clean electricity alone cannot get us to net zero.,21
23,0.775702,confident,Confident,Substituting clean hydrogen for grey hydrogen clearly avoids the cost of downstream adjustment.,22
24,0.91961,tentative,Tentative,"Depending on prevailing natural gas prices, this may be one of the higher counterfactuals.",24
